bus,geometry,x,y
0,"POLYGON ((80.9250677 26.9604688, 80.9265101 26.9602868, 80.9263731 26.9595968, 80.9261663 26.9596245, 80.9261753 26.9596694, 80.9249708 26.9598295, 80.9250677 26.9604688))",80.92574004720426,26.960053349943962
1,"POLYGON ((80.9725862 26.9302221, 80.9745577 26.9291673, 80.9744372 26.9290319, 80.9737787 26.9294056, 80.9732488 26.9285565, 80.9719449 26.9292482, 80.9725862 26.9302221))",80.97299810260668,26.92938261361093
2,"POLYGON ((80.8651881 26.8884361, 80.8663401 26.8898397, 80.8683588 26.888335, 80.8671941 26.8869445, 80.8651881 26.8884361))",80.86677070329563,26.888389869264458
3,"POLYGON ((81.0489525 26.9118021, 81.0492454 26.9116554, 81.0489647 26.9112095, 81.0486717 26.9113561, 81.0489525 26.9118021))",81.0489585665043,26.911505774553603
4,"POLYGON ((81.050542 26.9040142, 81.0523679 26.9029474, 81.0528128 26.9035782, 81.0535614 26.9031129, 81.0526824 26.9019531, 81.0520376 26.901156, 81.0512663 26.9016653, 81.0495718 26.9027161, 81.050542 26.9040142))",81.05152754936748,26.90264911203576
5,"POLYGON ((81.0548623 26.9088712, 81.0554073 26.9085757, 81.055079 26.9080641, 81.0545308 26.9083511, 81.0548623 26.9088712))",81.05496926178543,26.908466014273063
6,"POLYGON ((81.0183044 26.832486, 81.0194648 26.8324014, 81.0193307 26.8309364, 81.0173368 26.8310817, 81.0175804 26.8337418, 81.0184138 26.833681, 81.0183044 26.832486))",81.01828424914626,26.832090493121548
7,"POLYGON ((81.0183044 26.832486, 81.0194648 26.8324014, 81.0193307 26.8309364, 81.0173368 26.8310817, 81.0175804 26.8337418, 81.0184138 26.833681, 81.0183044 26.832486))",81.01828424914626,26.832090493121548
8,"POLYGON ((80.9422711 26.7510803, 80.9435025 26.7505879, 80.9429139 26.7493557, 80.9427911 26.7493914, 80.942334 26.748547, 80.9427768 26.7483939, 80.9426282 26.7481668, 80.9410569 26.7482051, 80.9414712 26.7495419, 80.9422711 26.7510803))",80.94224224310118,26.749538996971907
9,"POLYGON ((80.9614338 26.8328154, 80.9617401 26.8328358, 80.9616875 26.8332437, 80.9633057 26.8334782, 80.9631503 26.8340146, 80.9630131 26.8344592, 80.9629331 26.8344408, 80.9609904 26.8334334, 80.9614338 26.8328154))",80.96222811354139,26.83363877994062
10,"POLYGON ((80.8525011 26.7459028, 80.853339 26.7455179, 80.8533056 26.7454262, 80.8554594 26.7442975, 80.8558055 26.7444103, 80.8570706 26.7448889, 80.8579618 26.7469296, 80.8582742 26.747645, 80.8582273 26.7478335, 80.8582091 26.7482406, 80.85848 26.7482383, 80.8585854 26.7488187, 80.8580589 26.7495441, 80.8578851 26.7496244, 80.8577723 26.7494925, 80.8561157 26.7498263, 80.8559269 26.7499878, 80.855854 26.7498435, 80.8558878 26.7498179, 80.8555778 26.7493969, 80.8554033 26.748932, 80.8553981 26.7489182, 80.8553287 26.7489313, 80.8548966 26.7484386, 80.8542434 26.7487045, 80.8531754 26.7471826, 80.8534355 26.7470322, 80.8534371 26.7469444, 80.8525011 26.7459028))",80.85580171082879,26.74706966894675
11,"POLYGON ((80.9816227 26.8555308, 80.982641 26.8568736, 80.9840527 26.8559694, 80.9830557 26.8548619, 80.9826355 26.8550922, 80.9824899 26.8549109, 80.9816227 26.8555308))",80.98280981742487,26.855802223128165
12,"POLYGON ((80.8397411 26.7727839, 80.8406086 26.7733999, 80.8408935 26.7730801, 80.840026 26.7724641, 80.8397411 26.7727839))",80.84031730000001,26.772932
13,"POLYGON ((80.8885546 26.8458957, 80.8887948 26.8457837, 80.8887351 26.8456818, 80.889117 26.8455036, 80.889916 26.8468667, 80.8892129 26.8471948, 80.8889702 26.846781, 80.8890514 26.8467431, 80.8885546 26.8458957))",80.88921859703679,26.846370750022064
14,"POLYGON ((80.8885546 26.8458957, 80.8887948 26.8457837, 80.8887351 26.8456818, 80.889117 26.8455036, 80.889916 26.8468667, 80.8892129 26.8471948, 80.8889702 26.846781, 80.8890514 26.8467431, 80.8885546 26.8458957))",80.88921859703679,26.846370750022064
15,"POLYGON ((80.973945 26.7605561, 80.9738414 26.7614924, 80.9742702 26.7615302, 80.9743738 26.760594, 80.973945 26.7605561))",80.9741075964409,26.76104317267247
16,"POLYGON ((80.9381245 26.8179882, 80.9384749 26.8179649, 80.9385134 26.8185034, 80.9381629 26.8185291, 80.9381245 26.8179882))",80.93831879861693,26.81824644361217
17,"POLYGON ((80.9405422 26.8780753, 80.94084 26.877823, 80.9405344 26.8775361, 80.9402366 26.8777884, 80.9405422 26.8780753))",80.94053830000001,26.877805700000003
18,"POLYGON ((80.9658333 26.8930839, 80.9661656 26.8935428, 80.9665246 26.893336, 80.9661923 26.8928772, 80.9658333 26.8930839))",80.96617894934107,26.893209983093037
19,"POLYGON ((80.944403 26.892328, 80.9446168 26.8922, 80.9444699 26.8919988, 80.9444311 26.8920228, 80.9443685 26.891941, 80.9442022 26.892045, 80.944403 26.892328))",80.94440770009457,26.892131519460843
20,"POLYGON ((80.9480463 26.9047988, 80.9483858 26.9047945, 80.9483625 26.9046565, 80.9480404 26.9046617, 80.9480463 26.9047988))",80.94820904364096,26.90472847039814
21,"POLYGON ((80.9449247 26.912279, 80.9452067 26.9122366, 80.9451604 26.9119921, 80.9448784 26.9120346, 80.9449247 26.912279))",80.94504255909497,26.91213557226271
22,"POLYGON ((80.9545948 26.9269285, 80.9543501 26.9270568, 80.9545185 26.9273123, 80.9547633 26.9271839, 80.9545948 26.9269285))",80.95455667925047,26.9271203872041
23,"POLYGON ((80.9511567 26.8349981, 80.9516078 26.8349944, 80.9511828 26.8353932, 80.9511567 26.8349981))",80.95131576666667,26.83512856666667
24,"POLYGON ((80.8838312 26.8427585, 80.8841266 26.8427432, 80.8841212 26.8426598, 80.8841142 26.8425534, 80.8838188 26.8425687, 80.8838312 26.8427585))",80.88397271215058,26.842655949686595
25,"POLYGON ((80.9173694 26.8391744, 80.9176321 26.8390065, 80.9174965 26.8388375, 80.9172337 26.8390054, 80.9173694 26.8391744))",80.917432916684,26.839005949954032
26,"POLYGON ((80.8621464 26.8890846, 80.8624109 26.8894651, 80.8626722 26.8893206, 80.8624077 26.8889401, 80.8621464 26.8890846))",80.86240930000001,26.8892026
27,"POLYGON ((80.9082288 26.852225, 80.908316 26.8524969, 80.9085548 26.8524359, 80.9084676 26.852164, 80.9082288 26.852225))",80.9083918,26.85233045
28,"POLYGON ((80.8835697 26.881271, 80.8838834 26.8811575, 80.8837951 26.8809632, 80.8834813 26.8810767, 80.8835697 26.881271))",80.88368236880457,26.881117097080516
29,"POLYGON ((80.8932714 26.8840579, 80.8937069 26.8840459, 80.8937133 26.8842314, 80.8932778 26.8842435, 80.8932714 26.8840579))",80.89349233046391,26.88414467566301
30,"POLYGON ((80.8908296 26.8221549, 80.8910152 26.8218831, 80.8907646 26.8217468, 80.8905789 26.8220186, 80.8908296 26.8221549))",80.89079706745224,26.821950854932133
31,"POLYGON ((81.0448871 26.8925639, 81.045296 26.8924981, 81.0452074 26.8920604, 81.0447986 26.8921262, 81.0448871 26.8925639))",81.04504727796119,26.89231215844479
32,"POLYGON ((80.9436405 26.9368837, 80.94363 26.9374415, 80.9440155 26.9374868, 80.9440594 26.9368665, 80.9436405 26.9368837))",80.94384013846424,26.9371660331852
33,"POLYGON ((81.0184019 26.9634646, 81.0189185 26.9632236, 81.0188769 26.9630413, 81.0193241 26.9628435, 81.0194108 26.9629949, 81.0213281 26.9620988, 81.0206277 26.9613757, 81.0199447 26.9616507, 81.0196847 26.9610729, 81.0170636 26.9621637, 81.0178368 26.9627724, 81.0184019 26.9634646))",81.0191697975908,26.962203014625253
34,"POLYGON ((80.8232861 26.8323663, 80.8243415 26.8315611, 80.8244832 26.831737, 80.8246509 26.8316498, 80.8251689 26.8324404, 80.8254702 26.8323416, 80.8256607 26.8326657, 80.8247405 26.8330668, 80.8246005 26.8335071, 80.8243659 26.8333676, 80.8244132 26.8330043, 80.8237373 26.8327107, 80.8232861 26.8323663))",80.8244562860386,26.83244766425529
35,"POLYGON ((80.975689 26.7567933, 80.9754637 26.7563478, 80.97574 26.7542282, 80.9759331 26.7541707, 80.9779635 26.7537755, 80.978272 26.7549874, 80.9774324 26.7553993, 80.9768584 26.7557826, 80.976271 26.7562472, 80.975689 26.7567933))",80.97670921445133,26.755022600555122
36,"POLYGON ((80.9049147 26.8835968, 80.9047303 26.8830247, 80.9053576 26.8828639, 80.905542 26.883436, 80.9049147 26.8835968))",80.90513615,26.88323035
37,"POLYGON ((80.8259198 26.9156987, 80.8267674 26.9165597, 80.8280227 26.9172581, 80.8285966 26.9166076, 80.8286664 26.9163349, 80.8280012 26.9154883, 80.827623 26.9157155, 80.8271939 26.914876, 80.8277705 26.9145902, 80.8284263 26.9146787, 80.8292283 26.9141166, 80.8293866 26.9139564, 80.8287884 26.913606, 80.8285832 26.913771, 80.8282453 26.9134852, 80.8280455 26.9136144, 80.8277142 26.9138021, 80.8270141 26.9140485, 80.8268411 26.914125, 80.8265488 26.9143104, 80.8264281 26.9141992, 80.8263758 26.9144718, 80.8260888 26.9147612, 80.8263409 26.9154201, 80.8259198 26.9156987))",80.82749839827471,26.91530576969398
38,"POLYGON ((80.9091568 27.0085284, 80.9099373 27.0078928, 80.9100339 27.0079908, 80.9101278 27.0079358, 80.9106964 27.0085715, 80.9107769 27.0087531, 80.9105918 27.0088558, 80.9105998 27.0089347, 80.9098193 27.0092812, 80.9091568 27.0085284))",80.90997810403141,27.008598679262377
39,"POLYGON ((80.82537 26.8308564, 80.8255899 26.8306817, 80.8258326 26.8309378, 80.8255912 26.8311053, 80.82537 26.8308564))",80.82559771491806,26.83089533022265
40,"POLYGON ((80.82537 26.8308564, 80.8255899 26.8306817, 80.8258326 26.8309378, 80.8255912 26.8311053, 80.82537 26.8308564))",80.82559771491806,26.83089533022265
41,"POLYGON ((80.9636423 26.8064728, 80.9630234 26.8064386, 80.9629792 26.8071751, 80.9631 26.8071778, 80.9630882 26.8074145, 80.9634758 26.8074435, 80.9635848 26.8071962, 80.9636423 26.8064728))",80.96330845358982,26.806912370989473
42,"POLYGON ((81.000633 26.873824, 81.0012063 26.8738067, 81.0011985 26.8736003, 81.0006252 26.8736176, 81.000633 26.873824))",81.00091575,26.87371215
43,"POLYGON ((81.0751407 26.8643237, 81.0756352 26.8640165, 81.0748361 26.8628074, 81.0733924 26.8635203, 81.0751407 26.8643237))",81.07465042712595,26.863593393481317
44,"POLYGON ((81.0442789 26.6797097, 81.0456522 26.6795819, 81.0479792 26.6807493, 81.0495241 26.6802721, 81.0485609 26.6778009, 81.043144 26.6783463, 81.0442789 26.6797097))",81.04677618482856,26.67911224008636
